,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
81,Jeddah,   حي الصوارى ,شمال,350.00,0.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,95000.00,"💥💥💥
فرصه للإيجار 
فيلا دوبلكس منفصله للإيجار تشطيب سوبر ديلكس 

مودرن  جديده كلياً
مصعد راكب مساحات مفتوحه الصالات مكيفات دكت اسبليت راكب شركة يورك 

موقع مميز علي الجزء العلوي لمخطط الصواري (في التبه ) قريب من أكاديمية وعد 
بقية التكييف اسبليت غي..."
82,Jeddah,   حي المحمدية ,شمال غربي,370.00,15.00,3.00,4.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,120000.00,"فيلا للإيجار في المحمدية شارع محمد بن حاطب (على شارعين)شمالي غربي. 
مساحتها ٣٧٠م 
تصلح لشركة أو مكاتب أو مشغل.
مكونة من: الدور الأرضي صالة كبيرة + مطبخ(سيرفس)+٣ حمامات+ ٤ غرف أو مكاتب.
الدور الثاني: ٤ غرف أو مكاتب بحمامين.
الملحق: ٣ غرف أو مكاتب وحما..."
86,Jeddah,   حي المرجان ,غرب,330.00,4.00,4.00,4.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,120000.00,"فيلا للايجار مجمع القرية العربية
منطقة راقية بحي المرجان
نادي صحي
حمام سباحة غرفة حفلات لسكان المجمع 
غاز مركزي 
تكييق مركزي
سكيورتي + كاميرات"
88,Jeddah,   حي البساتين ,جنوب,300.00,8.00,4.00,5.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,فيلا للايجار حي البساتين قريبة من دوار النافوره
90,Jeddah,   حي المحمدية ,شرق,320.00,4.00,4.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"فيلا للايجار في حي المحمديه 
مكيفات ومطبخ راكب"
91,Jeddah,   حي النعيم ,جنوب,360.00,7.00,4.00,4.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,70000.00,"فيلا للايجار دورين بدون ملحق

الدور الارضي صوالين وسفره

الدور الاول ٣عرف نوم وصاله ومطبخ 

مكيفات راكبه 

للتواصل ٠٥٣٨٨٧٣٨٢٠"
92,Jeddah,   حي الخالدية ,شمال,360.00,5.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,120000.00,"فيلا ايجار متميزه جدا تكييف مركزي 
يوجد مسبح 
و٥ غرف نوم ومجلسين وصاله"
94,Jeddah,"   حي الحمراء ",شرق,300.00,6.00,5.00,3.00,3.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,150000.00,ڤلة للايجار مجددة بالكامل لتكون كافي او مقر لشركة بموقع مميز قريب من طريق المدينة وطريق الملك وشارع عرفات بجانب شركات عالمية
96,Jeddah,   حي المحمدية ,شرق,300.00,3.00,4.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,120000.00,"للايجار فلة بحي المحمدية

عبارة عن دورين منفصله 

الدور الارضي / 3 غرف نوم + دورتين مياه + مجلس + دورة مياه + مطبخ + حوش المدخل


الدور الاول / 3 غرف نوم + دورتين مياه + مجلس + دورة مياه + مطبخ + حوش المدخل + سطح

يوجد مكيفات اسبلت لجميع الغرف


المط..."
98,Jeddah,   حي المحمدية ,جنوب,300.00,13.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,65000.00,"فيلا للايجار بحى المحمديه 
مطبخ راكب وبدون مكيفات 
4 غرف نوم"
100,Jeddah,   حي المحمدية ,غرب,350.00,0.00,7.00,2.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"العقار فيلا للايجار جديده
المدينه جده 
الحي المحمديه 
قريبه شارع الامير سلطان 
المساحه 350 متر 
المواصفات الفيلا 
الدور الارضي حوش كبير + كراج سيارات 
+ 2 صوالين + صاله + مطبخ + 2 دوره مياه 
الدور الاول 4 غرف نوم نظام ماستر 
+ صاله + ملحق غرفتين وصال..."
101,Jeddah,   حي المحمدية ,شرق,300.00,11.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,95000.00,فيلا دوبلكس دورين وملحق وبدرم ٣مدخل مكيف مركزي ومطبخ ركب المساحة تقريبا ٣٠٠م دوبلكس متصل الموقع غير دقيق قريب طريق المدينه الإيجار ٩٥ الف قابل للتفاوض
103,Jeddah,   حي الصالحية ,جنوب,300.00,0.00,1.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,60000.00,"فيلا للايجار مخطط السعيد دورين وملحق درج داخلي .
الدور الارضي مجالس 
الدور الاول ٤غرف نوم 
الدور الثاني غرف نوم مع سطح"
104,Jeddah,   حي المحمدية ,جنوب,350.00,13.00,3.00,5.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,75000.00,"فيلا للايجار بحى المحمديه 
مكيفات ومطبخ راكب"
106,Jeddah,   حي الاجاويد ,شمال غربي,300.00,6.00,7.00,5.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,60000.00,"حي الاجاويد ١
فيلا للايجار دورين مع حوش خاص ومدخل سيارات 
الدور الارضي يتكون من :
-ثلاثة مجالس مساحه كل مجلس ٦*٤
-صاله بدرج داخلي 
-مطبخ 
-دورتين مياه 
الدور الثاني يتكون من /
_ اربع غرف نوم منها غرفه ماستر  مساحة كل غرفه ٦*٤
- صاله توزيع 
- صاله جلو..."
110,Jeddah,   حي المحمدية ,شرق,300.00,9.00,4.00,5.00,3.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,90000.00,فيلا للايجارفي حي المحمديه خلف البيك ٣صولين وصاله ومطبخ وحمامين الدور الاول ٣غرف نوم وغرفه صغيره الملحق غرفه وصاله وحمام الايجار ٩٠الف الفيلا نضيفه
112,Jeddah,   حي الفردوس ,جنوب,321.00,0.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,80000.00,"فيلا جديدة للايجار مدخلين  مع مكيفات ومصعد جاهز غرفة سائق
الدور الارضي 
مجلس رجال 
مجلس نساء تطل على مسبح
صالة كبيرة تطل على مسبح
دورات مياة 
الدور الثاني 
صالة 
اربع غرف نوم مع دورة المياة 
الملحق 
غرفتين نوم 
دورات مياة 
غرفة غسيل"
115,Jeddah,   حي المحمدية ,غرب,375.00,14.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,90000.00,"فلاه للايجار علي شارع الامير سلطان تجاري ادري تصلح مقر شرركه  الموقع بعد شركه المياه
فيها بدروم تتكون من دورين ونصف كبيره
كل دور ٤ وصاله والملحق ٣ غرفه"
120,Jeddah,   حي الياقوت ,شمال,312.00,4.00,5.00,5.00,3.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,100000.00,"فيلا دبلوكس للايجار السنوي
موثثة بالكامل 
5 غرف نوم
6 دورات مياه
3 صوالين وطاولة طعام ومعيشة
وغرفة العاب 
سطوح بجلسه ومضله
حوش
موقف سيارة وحده

يمكن تركيب مصعد للمستاجر الصامل

يمكن دفع 12 الف شامل الكهربة خلال السنه والماء و 2000 ريال انترنت 
الدفع ..."
124,Jeddah,   حي البساتين ,شمال,300.00,10.00,5.00,5.00,3.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,فلة للإيجار  في حي البساتين بجوار الصالة الملكية تم ترميم بعض الغرف والحمامات بالكامل رقم التواصل 0541017700 ارجو من اصحاب المكاتب وغير المستاجرين عدم التواصل معي. السعرغير قابل للتفاوض
126,Jeddah,   حي الزمرد ,جنوب,312.00,0.00,5.00,5.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,60000.00,"فيلا فاخره للأيجار  تصميم مودرين 

مفصوله من الامام ومن الخلف 

مساحه ٣١٢.٥ متر شارع ١٦ 
أدور الأرضي 
يوجد تأسيس مصعد 
مجلس رجال +مجلط+مجلس نساء 


+٢دورات مياه +صالون طعام 

أدور الأول غرفه نوم +غرفت ملابس +بدورات مياه +غرفه+بدروات مياه+غرفتين+بدورا..."
131,Jeddah,   حي الزمرد ,شرق,312.00,0.00,5.00,4.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,60000.00,"فيلا إيجار في حي الزمرد الخالدية جز ب

مساحه 312 مفضله

مكونات من ادور الأرضي مجلس رجال مع دوات مياه

ودور الأول 3 غرف نوم وصله 3 دورات مياه

والملحق غرفه 1دورات مياه وسحَوح

مطلوب 60 الف سنواي

لتوصل 0550951206 احمد قايد"
137,Jeddah,"   حي الحمراء ",جنوب غربي,350.00,10.00,4.00,5.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,120000.00,"فلل مفروشه في حي الحمراء للايجار السنوي بينها وبين مركز جمجوم شارع 20 قريبه من الكرنيش وجميع الخدمات"
139,Jeddah,"   حي الزهراء ",شمال,300.00,4.00,3.00,5.00,3.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,150000.00,"فلا للايجار السنوي
مفروشه فرش كامل
3 غرف نوم رئيسيه
3 صوالين
5 دورات مياه
غرفة شغاله"
140,Jeddah,   حي النهضة ,شمال,300.00,4.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"العقار فيلا للايجار 
جديده استخدام سنتين فقط 
المدينه جده 
الحي النهضه الطحلاوي 
المواصفات الفيلا 
الدور الارضي حوش + مدخل سياره 
+ 2 صوالين + صاله + 2 دوره مياه 
الدور الاول 4 غرف نوم نظام ماستر + مطبخ + صاله 
+ ملحق غرفه شغاله + غرفه غسيل 
+ سطوح 
..."
150,Jeddah,   حي ابحر الشمالية ,شمال,300.00,0.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,65000.00,للايجار فيلا دبلكس سنوي جديده كامله في ابحر الشماليه حي المروج خليج سلمان للتواصل واتس اب / ‪+966 56 890 3241‬
154,Jeddah,   حي النعيم ,شرق,350.00,5.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"العقار  فيلا للايجار 
المدينه جده الحي النعيم 
المواصفات الفيلا 
حوش كبير + 3 صوالين + مطبخ + 2 دوره مياه 
+ الاول 4 غرف نوم نظام ماستر + صاله 
+ مطبخ سيرف يخدم الدور الاول 
+ ملحق غرفه شغاله وغرفه غسيل + سطوح 
المطلوب 100 الف سنوي 
التواصل على الرقم..."
161,Jeddah,   حي النعيم ,غرب,350.00,7.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,120000.00,"العقار فيلا للايجار 
المدينه جده 
الحي المسره من ارقي الحياء  في جده 
المواصفات الفيلا الدور الارضي
مجلسين + صاله + مطبخ ركاب 
الدور الاول 3 غرف نوم  نظام ماستر  + صاله 
+ ملحق غرفه شغاله + غرفه غسيل + سطوح 
المميزات الفيلا تكيف مركزي + ارضيات رخام 
..."
162,Jeddah,   حي البساتين ,شرق,350.00,2.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,120000.00,"العقار فيلا للايجار 
المدينه جده 
الحي البساتين 3 
المواصفات الفيلا
الدور الارضي حوش + 2 صوالين + صاله 
الدور الاول 5 غرف نوم نظام + صاله 
+ ملحق غرف خدم + سطوح 
المميزات الفيلا تكيف مركزي راكب + مصعد جديد
المطلوب 120 الف سنوي 
التواصل على هذا رقم فق..."
164,Jeddah,   حي الزمرد ,غرب,300.00,0.00,2.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"للإيجار السنوي فقط......

مجمع فلل شاليهات عائلية مطله على البحر المفتوح الفلل الصغيره من غرفتين وصاله كبيره والفلل الكبيره من 3 غرف وصاله كبيره مع مسبح عام للكبار ومسح عام للصغار مع العاب اطفال.

للتواصل واتس اب 
0507474722
0563030352"
167,Jeddah,   حي الياقوت ,غرب,300.00,0.00,5.00,5.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,60000.00,"فلة جديدة(مجددة) للايجار فاخرة للعوائل 👍


الدور الارضي : صالتين مفتوحة +غرفة طعام + ٢ دورات مياه+ غرفة تصلح غرفة نوم او اي شيء +مطبخ راكب (جديد) +مدخلين


الدور الأول : ٣ غرف نوم + صالة كبيرة + ٢ دورات مياه....

الملحق: غرفة خادمة +غرفة غسيل +سطح ص..."
174,Jeddah,   حي الشاطئ ,غرب,300.00,9.00,4.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,120000.00,"فيلا  للايجار بحي الشاطي قرب الممشي
٤ غرف نوم  نوم ٣ صالون و بيسمنت  
مطبخ راكب مكيفات مركزي

٥الاف تأمين 

للمعاينة ٠٥٩٠٢٨٧٨٧٧"
180,Jeddah,   حي المحمدية ,جنوب,300.00,5.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,90000.00,"فيلاه دبلكس للأيجار في حي المحمديه دورين وملحق 
الارضي مجلس ومجلط ومطبخ راكب وحمام 
الاول ٣غرف نوم وحمامين وسرفس مطبخ 
الثاني غرفة شغال بحمام وغرفة سائق وغسيل  وسطح
يوجود مصعد  
يوجود غرفة سائق 

لتواصل على الواتساب واتصال جوال اخر واتصال جوال اخر وا..."
181,Jeddah,   حي النهضة ,شرق,360.00,9.00,4.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,"فيلا للايجار بحي النهضه 

٤نوم  
تكيف 
مطبخ راكب 
نظيفه جدا حوش 



لتواصل ومعاينه يرجا اتصال 
0552807033"
182,Jeddah,   حي المحمدية ,جنوب,330.00,11.00,3.00,5.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,75000.00,"فيلا للايجار بحى المحمديه
للتواصل يرجى الاتصال"
187,Jeddah,   حي البساتين ,جنوب,360.00,4.00,4.00,5.00,4.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,95000.00,"فيلا دوبلكس للايجار و بها مكيفات سبلت جديدة و مطبخ راكب. 

الفيلا مكونة من
الدور الأرضي : 
صالتين و مجلس و مطبخ راكب و دورتين مياه و حوش خلفي. 

الدور الاول:
 ٣ غرف نوم و صالة ٣ دورات مياة و سيرفس.

الدور الثاني: غرفة اضافية مع دورة مياه و ملحق خلفي ..."
190,Jeddah,   حي النعيم ,جنوب,370.00,8.00,4.00,5.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,70000.00,"فيلا   للايجار بحي النعيم  
مطبخ راكب  جديد نظيف  

غرف النوم ٣
حوش  
حمامات نظيفه
الرجاء تواصل للمعاينه 
0552807033"
191,Jeddah,   حي الشاطئ ,غرب,300.00,10.00,4.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,110000.00,"فيلا للايجار بحي الشاطي خلف الممشي 
4 غرف نوم
3 صوالين 
بدروم
غرفة شغاله  و مطبخ راكب 
تكيف مركزي 
مطلوب 110 الف"
199,Jeddah,   حي المحمدية ,شرق,300.00,10.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,"فيلا للايجار فى المحمدية دورين وملحق 
٤ غرف نوم وصاله ومطبخ 
وغرفة شغاله وغرفة سواق
الموقع غير دقيق
للتواصل 0536778408"
201,Jeddah,   حي المحمدية ,غرب,340.00,0.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"فيلا للايجار فى المحمدية دورين وملحق
الدور الارضى صوالين وصاله
٤غرف نوم و٣ حمامات وصاله وكتشن  
وملحق غرفتين وصاله وكتشن 
مطلوب ١٠٠ الف 
للتواصل 0536778408











فيلا للايجار فى البساتين البركه 
دورين وملحق مجلس رجال ومجلس حريم 
وصاله وحمامين وم..."
202,Jeddah,   حي المحمدية ,جنوب,375.00,10.00,4.00,5.00,2.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"فيلا للايجار بحى المحمديه 
٤ غرف نوم ومكيفات ومسبح"
203,Jeddah,   حي الزمرد ,شرق,312.00,2.00,5.00,5.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,60000.00,"فيلا ليجار في حي الزمرد الجزء ب أدور الارضي مجلس الرجال بي دورت مياه ومجلس نساء بي دورات مياه وطبخ  وصاله أدور الاول ٣غرف نوم بي ٣دورات مياه وصاله المحق غرف نوم وصاله ١دورت مياه 
موقع مميز مطلوب ٦٠ الف سنوي 
نبيع ونشتري في جميع مخططات ابحر الشمالية و..."
206,Jeddah,   حي الخالدية ,شرق,350.00,4.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,110000.00,"العقار فيلا للايجار 
المدينه جده /
الحي الخالديه 
خلف مطعم توينا 
المواصفات بدروم 
+ حوش + مسبح 
+ غرفه سواق 
+ 3 صوالين + صاله + مطبخ 
+ الدور الاول 4 غرف نوم نظام ماستر + صاله 
+ ملحق غرفه شغاله + غرفه غسيل 
ملاحظه تكيف مركزي لكالمل الفيلا 
التواصل..."
209,Jeddah,   حي البساتين ,شمال,350.00,6.00,7.00,5.00,5.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,90000.00,"العقار / فيلا للايجار 
المدينه جده /
الحي البساتين البركه مقابل قصر خالد الفيصل 
مواصفات الفيلا حوش + غرفه سواق 
+ 2 صوالين + صاله + مطبخ راكب 
الدور الاول 4 غرف نوم نظام ماستر + صاله +مطبخ سيرفس 
+ ملحق يتكون من غرفتين وصاله + 2 دوره مياه 
+ غرفه شغ..."
212,Jeddah,   حي المحمدية ,غرب,350.00,6.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,140000.00,للأيجار فيلا في المحمديه ٢مجلس وصاله ومطبخ وحمامين و٤غرغه نوم وصاله ٤حمام وملحق غرفتين وصالة وحمامين  ومطبخ  وغرفه شغله  وغرفه غسل  ومسبح السعر ٩٠لف فيه
214,Jeddah,   حي المحمدية ,غرب,300.00,0.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,90000.00,فيلا جديده للايجار قابل للتفاوض
215,Jeddah,   حي الشاطئ ,شمال,350.00,9.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,120000.00,"فيلا للايجار حى الزهراء مكونه من دورين وملحق ويوجد مطبخ ومكيفات ومسبح"
216,Jeddah,   حي المحمدية ,غرب,300.00,9.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,75000.00,"فيلا للايجار بحى المحمديه 
قابل للتفاوض"
219,Jeddah,   حي المحمدية ,غرب,360.00,7.00,5.00,5.00,2.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"فيلا للايجار مكيفات ومطبخ راكب 

الموقع غير دقيق 

للتواصل ٠٥٣٨٨٧٣٨٢٠"
220,Jeddah,   حي النهضة ,غرب,312.00,10.00,3.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,75000.00,"فيلا للايجار في حي النهضه فيها الارضي صالونين وصاله ومطبخ ومخزن  
الاول صاله وغرفة مأستر وفيها غرفة ملابس وغرفتين نوم تانيه
ملحق غرفة شغاله وغرفة غسيل"
223,Jeddah,   حي النهضة ,شمال,300.00,13.00,4.00,5.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,80000.00,"فلا للايجار في حي النهضه المطلوب ٨٠الف الموقع غير دقيق لا يوجد صور للمفاهمه ٠٥٥٢١٦٢٠٣٣"
227,Jeddah,   حي المحمدية ,غرب,300.00,10.00,3.00,5.00,4.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,140000.00,"دوبلكس للايجار الدور الارضي صوالين والدور الاول 3غرف نوم ماستر والملحق غرفه كبيره وغرفه شغاله  تكيف راكب مطبخ راكب المطلوب 140الف دفعه واحده
الموقع غيردقيق"
229,Jeddah,   حي المحمدية ,جنوب,370.00,8.00,4.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,90000.00,"للايجار العائلي أو صالون نسائي
للمفاهمة بالمعقول 
للتواصل عن طريق الواتساب : 0568384747"
230,Jeddah,   حي البساتين ,غرب,350.00,8.00,4.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"فيلا للايجار بالبساتين3 مطلوب100الف
الموقع غيردقيق بالمره"
232,Jeddah,   حي الشاطئ ,شرق,300.00,12.00,6.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"ايجار فيلا دوبلكس 
جدة - حي الشاطئ/١
الدور الأرضي : ٢صالون - صالة كبيرة على المسبح - غرفة مسبح مكيفة - ٢دورات مياه - مطبخ مؤثث . 
الدور الأول : ٤ غرف نوم - ٣دورات مياه - صالة وسرفيس . 
الدور الملحق: غرفتين وحمام وغرفة غسيل. 
الاضافات : خزان غاز كبير ..."
234,Jeddah,   حي الشاطئ ,جنوب,300.00,13.00,5.00,5.00,4.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,150000.00,"فيلا للايجار دوبلكس ٣٠٠ متر 
١٠ غرف الإجمالي 
تصلح مكتب او مشغل 
مطلوب ١٥٠ الف
للمعاينة الاتصال فقط علي ٠٥٩٠٢٨٧٨٧٧"
235,Jeddah,   حي البساتين ,جنوب غربي,375.00,0.00,6.00,4.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,100000.00,"فيلا فاخرة للايجار 
موقع مميز يتوسط طريق الملك و شارع الامير سلطان و طريق المدينة
تشطيف فاخر"
237,Jeddah,   حي ابحر الجنوبية ,شرق,300.00,8.00,4.00,4.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,60000.00,للإيجار فيلا في ابحر الحنوبية الشرقي
241,Jeddah,   حي المحمدية ,شرق,345.00,13.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,فيلا للايجار بحى المحمديه مكيفات ومطبخ راكب
242,Jeddah,   حي الفردوس ,جنوب,300.00,2.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,80000.00,"فيلا للايجار بحي ابحر الشماليه 
الفردوس تتكون من 
١٠غرف و٤صالات و٧حمامات
مسبح مصعد غرفه شغاله غرفه سواق 
شي مرتب مجدده بويات سباكه كهربا 
قريب من خدمات شي نضيف"
243,Jeddah,   حي الشاطئ ,غرب,330.00,6.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,140000.00,للايجار فيلا دورين وملحق في حي الشاطئ
245,Jeddah,   حي طيبة ,شرق,312.00,0.00,5.00,5.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,70000.00,"للايجار فيلا دبلكس منفصلة مخطط الرحيلي_مدينة_طيبة_قريب من طريق المدينة_جدة
المساحة: 312 متر
شارع: 16م
واجهة : شرقية
يوجد غرفة سائق بحمام
يوجد غرفة خادمة
جوش
نوافذ شتر
❁تتكون الفيلا من دورين وملحق
✿الدور الارضي
-مجلسين رجال ونساء بمدخلين ، مجلط ،صالة ..."
246,Jeddah,   حي المحمدية ,شرق,375.00,9.00,5.00,5.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,100000.00,"فيلا للإيجار  خلف شركة المياة حي المحمدية_مدينة جدة
●التفاصيل :
الموقع : حي المحمدية
مساحة الارض : 375 م
مساحة المباني : 500 م
شارع : 16 م
●المواصفات :
تتكون الفيلا من دورين وملحق
• الدور الارضي : 
يتكون من صالونين الاول يستوعب 15 شخص. والاخر صالون ك..."
254,Jeddah,   حي الشاطئ ,شمال شرقي,300.00,2.00,3.00,4.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,150000.00,"فلل فندقيه فاخره للايجار الشهري والسنوي بجانب الردسي مول وتبعد ٢٠٠ م عن الكورنيش
الفيلا دورين مكونه من ٣ غرف نوم وصالتين و ٤ حمامات ومطبخ كيير وغرفة خادمه 
نادي صحي متكامل للموقع كامل
الايجار الشهري / ٢٥٠٠٠ الف مع الخدمات بدون كهرباء
الايجار السنوي /..."
